Model Serial,AUROC,Calibration Slope,Brier,Net Benefit,Sensitivity,Specificity,PPV,NPV,F1,Mean Rank
06022026_101523_69347,0.7712155755799226,1.0656283778407345,0.08851547539234161,0.041936755933491006,0.6229508196721312,0.7902869757174393,0.2857142857142857,0.9396325459317585,0.3917525773195876,57.0
05022026_160502_73170,0.7697499366699236,1.0000950031592266,0.0886094719171524,0.056258195035129646,0.7377049180327869,0.673289183222958,0.23316062176165803,0.9501557632398754,0.3543307086614173,57.27777777777778
05022026_125050_98738,0.7645930590236312,1.0229731292113564,0.08868879079818726,0.06414240641824251,0.8360655737704918,0.5894039735099338,0.21518987341772153,0.9638989169675091,0.3422818791946309,57.27777777777778
05022026_130839_45739,0.7861252849853435,1.2536774593637536,0.0894150361052784,0.06145814952472022,0.7868852459016393,0.6379690949227373,0.22641509433962265,0.956953642384106,0.3516483516483517,57.94444444444444
03022026_150726_66864,0.780136069192632,1.1828417661538997,0.08874917030334473,0.043013116480641746,0.5901639344262295,0.8300220750551877,0.3185840707964602,0.9376558603491272,0.41379310344827586,58.166666666666664
05022026_124840_71444,0.7736040241739949,1.152751823403942,0.08852075922966136,0.07067476429588611,0.8524590163934426,0.5607064017660044,0.20717131474103587,0.9657794676806084,0.3333333333333333,59.111111111111114
05022026_153547_99049,0.777838092136214,1.1372136432534838,0.08771493285894394,0.05378012550680553,0.7540983606557377,0.6534216335540839,0.22660098522167488,0.9517684887459807,0.3484848484848485,59.111111111111114
05022026_141648_46986,0.767397676690913,1.0030597205002747,0.08946691453456879,0.043797781096263144,0.6229508196721312,0.7770419426048565,0.2733812949640288,0.9386666666666666,0.38,60.55555555555556
05022026_114548_67055,0.7771866970651033,0.5653828406530946,0.08984772807722193,0.06363971388561945,0.7213114754098361,0.7019867549668874,0.24581005586592178,0.9492537313432836,0.36666666666666664,60.611111111111114
04022026_165832_30804,0.7664386783917778,0.9337007658664382,0.08800237625837326,0.039266932860699696,0.5573770491803278,0.8432671081677704,0.3238095238095238,0.9339853300733496,0.40963855421686746,60.666666666666664
06022026_054704_80505,0.7656063402453588,1.1128693656552378,0.08956719934940338,0.0432619485271589,0.6065573770491803,0.82560706401766,0.31896551724137934,0.9396984924623115,0.4180790960451977,61.111111111111114
05022026_164851_29215,0.7775123946006585,0.7017713965341766,0.09546757719827986,0.04444385742213774,0.7540983606557377,0.7041942604856513,0.25555555555555554,0.9550898203592815,0.3817427385892116,61.5
04022026_175335_19735,0.7713784243477002,1.0880176110735529,0.08951430767774582,0.041186097371168656,0.5737704918032787,0.8410596026490066,0.32710280373831774,0.9361179361179361,0.4166666666666667,61.611111111111114
05022026_130008_98590,0.7804798610357181,1.1630791210234481,0.08825208897898089,0.05261669572810479,0.7868852459016393,0.6203090507726269,0.21818181818181817,0.95578231292517,0.3416370106761566,61.77777777777778
04022026_201256_31313,0.7789961278181885,0.6037312227649995,0.09089499270750108,0.05766307032150303,0.7213114754098361,0.7019867549668874,0.24581005586592178,0.9492537313432836,0.36666666666666664,61.94444444444444
05022026_164310_14064,0.7683928636051098,0.5393775807543904,0.08995497483709297,0.061215176907062574,0.6721311475409836,0.7637969094922737,0.27702702702702703,0.9453551912568307,0.3923444976076555,62.166666666666664
04022026_185646_13158,0.7729888177179459,1.1791002411705271,0.08951901644468307,0.033989745627384195,0.5409836065573771,0.8763796909492274,0.3707865168539326,0.9341176470588235,0.44,62.333333333333336
04022026_173309_86442,0.7911916910939818,0.8172864198257136,0.10491720591279867,0.019559834738616666,0.7868852459016393,0.6600441501103753,0.2376237623762376,0.9583333333333334,0.3650190114068441,62.666666666666664
05022026_192241_25138,0.7616617812036334,0.9806989037979591,0.09041474014520645,0.038782451793046166,0.5573770491803278,0.8543046357615894,0.34,0.9347826086956522,0.422360248447205,63.111111111111114
04022026_150109_88076,0.7736040241739949,0.5519503451385909,0.09350455132765191,0.05835628503015438,0.7049180327868853,0.7328918322295805,0.2621951219512195,0.9485714285714286,0.38222222222222224,63.27777777777778
05022026_160339_83365,0.7663301125465929,1.0253640089341465,0.08858431130647659,0.05060213252952512,0.7213114754098361,0.6777041942604857,0.23157894736842105,0.9475308641975309,0.350597609561753,63.333333333333336
06022026_100405_54510,0.7813121991821372,0.6985126281196605,0.09583781390334033,0.05042165790054366,0.7704918032786885,0.6622516556291391,0.235,0.9554140127388535,0.36015325670498083,63.888888888888886
05022026_125524_66946,0.7844606086925053,1.2629262013650242,0.0901814762011855,0.03806669718824507,0.6065573770491803,0.8101545253863135,0.3008130081300813,0.9386189258312021,0.40217391304347827,64.27777777777777
04022026_211051_25330,0.7857633988347265,0.6937124899721958,0.10010433509199292,0.05680355918451279,0.8524590163934426,0.5761589403973509,0.21311475409836064,0.9666666666666667,0.34098360655737703,64.38888888888889
06022026_042104_45421,0.7731516664857236,1.099799645181231,0.0889513187472293,0.05099791194257685,0.7540983606557377,0.6534216335540839,0.22660098522167488,0.9517684887459807,0.3484848484848485,64.72222222222223
04022026_184205_23948,0.7691166359063439,1.083003183234003,0.08883325010538101,0.055359354741365316,0.7704918032786885,0.6379690949227373,0.22274881516587677,0.9537953795379538,0.34558823529411764,65.77777777777777
05022026_131528_62930,0.7651177939420257,0.9711883474223629,0.08957307040691376,0.05414961507336373,0.7377049180327869,0.6622516556291391,0.22727272727272727,0.9493670886075949,0.3474903474903475,66.27777777777777
06022026_110453_17125,0.7751963232367098,1.29116970499201,0.08986708521842957,0.0520054016299207,0.7540983606557377,0.6688741721854304,0.23469387755102042,0.9528301886792453,0.35797665369649806,66.5
05022026_113947_74294,0.7642673614880757,1.0545110474331263,0.08965247124433517,0.03845576321486917,0.5737704918032787,0.8344370860927153,0.3181818181818182,0.9356435643564357,0.4093567251461988,66.55555555555556
05022026_163925_27617,0.7760648499981906,0.6355052651360146,0.10444954606643621,-0.013376848174773144,0.5081967213114754,0.8962472406181016,0.3974358974358974,0.9311926605504587,0.4460431654676259,67.5
05022026_155042_13828,0.7793218253537437,1.0570764856053603,0.11409503689222646,-0.015963825785873617,0.7868852459016393,0.6467991169977925,0.23076923076923078,0.9575163398692811,0.35687732342007433,67.5
05022026_155832_14142,0.7747258712409076,1.153708193803323,0.09098309499140084,0.03836067421270603,0.5901639344262295,0.82560706401766,0.3130434782608696,0.9373433583959899,0.4090909090909091,67.77777777777777
04022026_210522_80540,0.7692975789816523,1.1661161119563197,0.08988992869853973,0.04082023108040379,0.5737704918032787,0.8388520971302428,0.32407407407407407,0.9359605911330049,0.41420118343195267,68.38888888888889
05022026_193702_29277,0.7733145152535013,0.5198970086700094,0.09072677424415675,0.07253730093602363,0.7377049180327869,0.673289183222958,0.23316062176165803,0.9501557632398754,0.3543307086614173,68.38888888888889
04022026_154615_32481,0.7723012340317735,0.5844103277274074,0.09196341607514891,0.08558497693180095,0.8688524590163934,0.5231788079470199,0.1970260223048327,0.9673469387755103,0.3212121212121212,69.16666666666667
05022026_162649_84648,0.7754134549270799,0.7666748919603119,0.10654991543629627,0.019016296393242357,0.7704918032786885,0.6754966887417219,0.2422680412371134,0.95625,0.3686274509803922,69.83333333333333
05022026_171555_65917,0.7768248109144863,0.6034245223887948,0.09493296135839019,0.03867424645552303,0.639344262295082,0.7748344370860927,0.2765957446808511,0.9410187667560321,0.38613861386138615,70.0
04022026_202705_98673,0.7700213512828864,1.1843998184827975,0.09025228502292752,0.032876369121798074,0.5409836065573771,0.8587196467991169,0.3402061855670103,0.9328537170263789,0.4177215189873418,70.55555555555556
05022026_192235_56193,0.7723012340317736,0.537444568118936,0.0971364508818895,0.041724266422658425,0.6557377049180327,0.7726269315673289,0.27972027972027974,0.9433962264150944,0.39215686274509803,70.55555555555556
06022026_001611_19591,0.7726631201823906,0.5743134707702066,0.09203959497598878,0.06890517803844537,0.7704918032786885,0.6445916114790287,0.22596153846153846,0.954248366013072,0.34944237918215615,70.72222222222223
05022026_102151_85882,0.7626388738102993,1.2416233318785077,0.089989572763443,0.04181229648814544,0.6065573770491803,0.7991169977924945,0.2890625,0.9378238341968912,0.3915343915343915,72.11111111111111
06022026_071756_85125,0.7666196214670863,0.5047817762752417,0.08972392119644794,0.05571255821171765,0.6065573770491803,0.7792494481236203,0.27007299270072993,0.9363395225464191,0.37373737373737376,72.5
05022026_154913_61897,0.7742916078601673,0.5829754374539742,0.09820334094323621,0.05838502636771317,0.7704918032786885,0.6401766004415012,0.22380952380952382,0.9539473684210527,0.34686346863468637,73.0
06022026_095856_17929,0.779285636738682,0.7393439835882758,0.10856962550453718,0.04168763208921042,0.8688524590163934,0.5562913907284768,0.20866141732283464,0.9692307692307692,0.33650793650793653,73.83333333333333
05022026_101712_21592,0.7698042195925162,0.5932765896616745,0.09650512872944675,0.04620425393883633,0.7049180327868853,0.7019867549668874,0.24157303370786518,0.9464285714285714,0.3598326359832636,74.94444444444444
05022026_121043_14342,0.761951290124127,0.5136790816207938,0.09928430060647696,0.007455753147155943,0.5081967213114754,0.8896247240618101,0.38271604938271603,0.930715935334873,0.43661971830985913,75.05555555555556
06022026_021247_33458,0.7610465747475844,0.38347269658893396,0.09271093486889546,0.07090093354127544,0.6557377049180327,0.7262693156732892,0.24390243902439024,0.94,0.35555555555555557,75.22222222222223
06022026_110441_28805,0.772988817717946,0.609655455988397,0.10399235882219038,0.03623938134955387,0.7377049180327869,0.6887417218543046,0.24193548387096775,0.9512195121951219,0.3643724696356275,75.72222222222223
05022026_135921_51042,0.7747801541635002,1.2013907318101178,0.0899233199930915,0.037898832684824905,0.7049180327868853,0.6909492273730684,0.23497267759562843,0.945619335347432,0.3524590163934426,76.27777777777777
05022026_112607_54354,0.766438678391778,0.5413559183763095,0.09132826258436966,0.04603072650098621,0.6065573770491803,0.7748344370860927,0.26618705035971224,0.936,0.37,77.0
05022026_145912_92918,0.771287952810046,0.6800920255058326,0.10553607185516811,0.009969208261171064,0.639344262295082,0.7615894039735099,0.2653061224489796,0.9400544959128065,0.375,77.66666666666667
06022026_103826_88133,0.7711793869648609,0.6662219909776769,0.1111819426414342,0.000453383483527664,0.639344262295082,0.7615894039735099,0.2653061224489796,0.9400544959128065,0.375,78.55555555555556
05022026_171825_75723,0.7645568704085695,0.4739052358683855,0.09233384938364164,0.038896341173468796,0.5409836065573771,0.8498896247240618,0.32673267326732675,0.9322033898305084,0.4074074074074074,79.11111111111111
04022026_140244_89620,0.7713241414251076,0.6561797072340665,0.10247928568319208,0.044544919432982895,0.7704918032786885,0.6247240618101545,0.21658986175115208,0.9528619528619529,0.3381294964028777,81.77777777777777
